,Accenture_predictions,Adobe_Systems_predictions,Advanced_Micro_Devices_predictions,Akamai_Technologies_predictions,Alliance_Data_Systems_predictions,Amphenol_Corp_predictions,Analog_Devices_predictions,ANSYS_predictions,Apple_predictions,Applied_Materials_predictions,Autodesk_predictions,Automatic_Data_Processing_predictions,Broadcom_predictions,Broadridge_Financial_Solutions_predictions,Cadence_Design_Systems_predictions,Cisco_Systems_predictions,Citrix_Systems_predictions,Cognizant_Technology_Solutions_predictions,Corning_predictions,F5_Networks_predictions,Fidelity_National_Information_Services_predictions,Fiserv_predictions,FleetCor_Technologies_predictions,FLIR_Systems_predictions,Fortinet_predictions,Global_Payments_predictions,HP_predictions,Intel_predictions,International_Business_Machines_predictions,Intuit_predictions,IPG_Photonics_predictions,Jack_Henry_Associates_predictions,Juniper_Networks_predictions,Keysight_Technologies_predictions,KLA_Tencor_Corp_predictions,Lam_Research_predictions,Mastercard_predictions,Microchip_Technology_predictions,Micron_Technology_predictions,Microsoft_predictions,Motorola_Solutions_predictions,NetApp_predictions,Nvidia_Corporation_predictions,Oracle_predictions,Paychex_predictions,QUALCOMM_predictions,Red_Hat_predictions,Salesforce_predictions,Rollins_predictions,Seagate_Technology_predictions,Skyworks_Solution_predictions,Symantec_predictions,Synopsys_predictions,TE_Connectivity_predictions,Texas_Instruments_predictions,Total_System_Services_predictions,Verisign_predictions,Visa_predictions,Western_Digital_predictions,Western_Union_predictions,Xerox_predictions,Xilinx_predictions
185,[123.01379648],[141.07094682],[13.28443149],[49.38727542],[254.29644371],[72.43152948],[77.43139563],[121.01998376],[142.23248235],[42.12420179],[102.07866372],[103.48392467],[235.48818483],[74.5680839],[33.32337165],[30.69302693],[78.79656285],[66.24246097],[29.84184816],[127.2785909],[85.53630419],[121.88098231],[144.16413092],[34.10797179],[38.06824353],[88.40767564],[17.17093851],[33.66070141],[152.45850484],[131.17765554],[147.35897112],[102.71223316],[27.82712714],[8.87554515],[92.50248089],[144.02064868],[120.04929262],[77.2047489],[30.07713973],[68.68833594],[85.97674589],[38.3410325],[143.04872376],[48.88726851],[56.98013593],[54.74054087],[95.06903286],[86.87593766],[40.26450792],[37.21748746],[97.83499775],[27.74775676],[72.54462546],[78.27546781],[76.94330091],[57.6725739],[93.27659191],[93.1589163],[86.16114578],[18.48921137],[28.36916631],[64.46100916]
186,[124.24389062],[142.53458535],[13.36164478],[49.1830448],[256.16777589],[73.44948177],[78.39432696],[122.45009032],[143.70897397],[43.54477103],[103.41233311],[105.14463009],[239.77741503],[75.28414446],[33.70639104],[30.88624451],[79.20055629],[66.91510295],[30.29257631],[127.66039345],[86.76439912],[122.81690381],[145.31998792],[34.7264503],[38.439233],[89.0679071],[17.33021477],[33.88594561],[152.8714316],[132.02263791],[150.95993408],[103.58751491],[28.43157142],[9.09708273],[94.54732625],[148.24161899],[121.37426014],[78.29551627],[30.19633356],[69.45195728],[87.38418171],[38.60095818],[146.88386763],[49.37977886],[57.47232446],[55.39103988],[96.51469589],[87.85541213],[40.96291667],[38.21766298],[99.7032804],[28.35916495],[73.22647873],[79.10887943],[78.46354537],[58.68907014],[94.48363001],[93.73138194],[86.81517746],[18.65745659],[28.80906081],[65.33299654]
187,[124.05028896],[143.52677167],[13.82598477],[49.66783453],[255.94688596],[73.72441073],[78.71305589],[122.29560674],[144.58940937],[44.24353423],[103.89004881],[103.72398724],[241.99498657],[74.80143276],[33.91573],[30.98227682],[79.91279291],[67.2252704],[30.54514781],[127.88099537],[87.17825927],[122.86035032],[144.76198074],[35.77467897],[38.53940338],[88.69014202],[17.86891817],[33.67360554],[153.41103209],[131.93625262],[151.01327041],[103.8122025],[29.15357495],[9.26452726],[95.60513397],[151.02612402],[121.93750156],[78.79358361],[30.54875563],[70.04935363],[87.28506499],[38.51087135],[153.78968948],[49.64278718],[57.80450454],[55.55390916],[97.38631969],[88.42004737],[40.81581091],[38.41860368],[99.96335093],[28.94326662],[73.46553876],[79.48892632],[78.7616551],[58.89597029],[95.28822887],[94.97272715],[89.51341743],[18.71208466],[28.9151864],[67.2167367]
188,[123.95718692],[142.81179279],[13.84993334],[49.87328575],[259.29266143],[73.61421724],[79.77243164],[122.837432],[145.05872113],[45.44855104],[104.27704914],[102.02922205],[240.9129736],[74.60550794],[34.1528985],[31.11152531],[78.59919262],[67.57514944],[30.34322129],[128.68459348],[87.79575089],[122.14220839],[146.03505068],[36.55108666],[38.85785867],[88.44717049],[17.91588321],[33.91927181],[153.14310067],[132.45444946],[150.83707367],[104.07280906],[29.10233674],[9.31498585],[96.9626805],[153.84972232],[123.41610883],[79.07908002],[31.41162845],[69.96664371],[87.71339256],[39.021347],[156.23579298],[49.88369674],[56.70556194],[55.30022617],[97.35054426],[88.28502771],[40.7680335],[38.64217721],[100.75070164],[28.97737583],[73.62915877],[79.27386957],[78.99642756],[59.34942563],[95.61071351],[95.24258713],[91.84498513],[18.79570459],[28.91451269],[67.50614255]
189,[125.48178267],[146.01483886],[14.29758663],[50.51715194],[260.07244118],[74.60622864],[80.32255488],[124.66936541],[145.22686173],[45.40307284],[106.90700797],[102.51003148],[245.93257742],[75.41136559],[34.71578949],[31.13922589],[80.39939872],[68.05419492],[30.89510239],[129.35611708],[88.45261199],[123.43494946],[146.64488421],[37.23817229],[39.52096963],[90.1520293],[18.01407956],[34.23068341],[153.64953666],[133.56450385],[151.83277067],[105.14362717],[29.20225984],[9.28383956],[97.66877033],[154.74600327],[124.49801231],[80.13935926],[31.45415546],[71.16775012],[88.7123766],[40.15578778],[163.29185768],[50.4741185],[57.17981801],[56.20241537],[98.88533943],[90.23263029],[41.22702228],[39.82474266],[101.670804],[29.82390862],[75.08419523],[81.2586326],[80.4431661],[60.24958778],[96.85650162],[96.03605857],[94.29797298],[18.99592131],[29.05073758],[68.38405263]
190,[125.69512696],[144.93883775],[13.56474783],[50.0938793],[264.61036717],[74.50970744],[80.24081589],[124.57061326],[147.29619336],[45.37328995],[107.08761193],[101.55617922],[247.33959064],[74.81792419],[34.43645459],[31.29296683],[80.28792322],[67.84750814],[30.82629371],[128.37798626],[89.13429271],[123.35352767],[149.4972725],[37.69778733],[40.0740714],[90.72477736],[18.0894784],[34.25293665],[153.54474701],[132.41909917],[151.92161072],[105.03602101],[29.05201472],[9.21151379],[97.68790685],[155.00454798],[124.65094178],[79.55034568],[31.09102538],[71.75553976],[88.32452019],[41.35850176],[161.48630949],[50.32990423],[57.16650483],[56.11191742],[97.78950222],[89.49621144],[40.86879096],[38.20719113],[102.79463383],[30.31465018],[74.98312267],[81.28423846],[80.45970702],[60.62668644],[97.20489387],[95.82792479],[92.88101912],[18.92947535],[29.26328635],[67.94566442]
191,[126.7607057],[146.2529557],[13.73517409],[50.60395878],[264.15402897],[74.5266627],[81.47240559],[124.54671252],[148.56879117],[46.13204652],[108.87634323],[101.46019118],[250.2295748],[75.31824025],[34.73187936],[31.43347577],[80.77921047],[68.7798046],[31.08649887],[124.07829037],[89.49509182],[123.68238889],[149.12895105],[37.72903533],[40.1278819],[91.88475504],[18.41635102],[34.67034977],[154.24082509],[132.95677224],[155.67021399],[105.28705353],[28.98359167],[9.22674671],[99.61108929],[157.36342814],[126.18776877],[80.79051891],[31.8504866],[72.75901009],[88.62135653],[43.67128253],[165.30229544],[50.56671596],[57.20693618],[56.80169904],[98.35750062],[89.96486288],[40.81136599],[39.53442269],[103.97755663],[30.07256336],[75.31412952],[81.5388693],[81.93676237],[60.69555131],[96.98650486],[96.73319723],[94.42434269],[19.02273547],[29.44250524],[66.31091833]
192,[126.41440444],[146.33031141],[13.84303863],[51.78193619],[262.31942774],[74.82874602],[81.13003528],[124.71094461],[149.06737979],[46.17135192],[106.87731426],[101.72025176],[249.24524442],[74.81176704],[34.6884439],[31.5198431],[81.5403371],[68.82236828],[31.3525648],[126.51589462],[89.57088481],[125.22046119],[147.4982178],[38.1423349],[40.21538995],[91.21733282],[18.46684059],[34.50119419],[152.8957902],[133.09602559],[153.64984388],[105.46870532],[29.13600531],[9.27008774],[99.16643315],[157.12371829],[126.61727492],[81.05721309],[31.7174475],[73.35384152],[88.24174235],[43.75221918],[164.57399477],[50.43663623],[56.83340331],[56.35968404],[98.64590295],[89.38568775],[40.85900473],[39.06829254],[103.31886132],[30.47272224],[75.54358192],[81.59368163],[81.62184249],[60.55918847],[98.0576833],[96.72858617],[94.75198599],[18.98771014],[29.36328671],[65.92498627]
193,[127.37836424],[147.84666603],[13.49915015],[51.57319616],[262.06578852],[74.86233048],[81.12304776],[125.08768086],[149.57328648],[46.67866177],[107.7696028],[101.30797281],[250.65955428],[74.63777303],[34.8263112],[31.52700271],[81.15423666],[68.76251535],[31.42058936],[126.63916914],[89.81979009],[125.14397757],[149.28284399],[38.24949589],[40.47099764],[91.74961116],[18.37713756],[34.54716895],[154.07353664],[133.73765121],[150.12757737],[105.34288018],[28.87678905],[9.05965773],[99.89935395],[159.45970672],[126.91557187],[81.55592208],[31.90550933],[73.2558964],[88.4551057],[43.89618958],[166.09197947],[50.44741478],[56.79255207],[56.28278932],[98.57005942],[89.34697055],[41.37408401],[38.71829032],[103.84069305],[30.57241159],[75.79514758],[81.7923362],[82.11130033],[61.56200703],[98.45626421],[97.38258855],[94.10463244],[18.96875794],[29.31101215],[65.58454154]
194,[127.76077395],[149.03132954],[13.5653],[52.06408917],[263.57541078],[75.57231166],[80.45192826],[126.24426451],[150.54703562],[47.22053768],[110.50288412],[102.7395769],[254.36076652],[75.5839453],[35.32786965],[31.91388561],[82.68127373],[69.42471903],[31.75795433],[127.71604067],[89.87131742],[125.79410569],[149.43649024],[38.26810589],[41.10420102],[92.75713482],[18.6970765],[34.57303696],[147.3266396],[135.29406571],[151.26118712],[106.10753194],[29.36297668],[9.10088424],[101.31664721],[164.38936219],[127.22887963],[82.30775419],[31.83460158],[73.84205626],[89.87804612],[44.17400728],[165.59580146],[51.0103665],[56.85647349],[56.74656939],[99.3324246],[89.62719446],[41.3876262],[39.31790975],[105.42066183],[30.98838768],[76.38611676],[83.17574682],[82.15930437],[61.66722653],[98.6450301],[98.14213859],[94.58551996],[19.17855097],[29.39836056],[65.55856553]
195,[128.56613362],[149.97359971],[13.77289782],[52.37934197],[239.10001741],[75.61365369],[80.88187265],[126.0601627],[149.86628832],[47.30538076],[109.84999684],[103.28571969],[253.71464866],[75.27121584],[35.10056087],[31.87886165],[82.52378903],[69.91627189],[31.7330902],[127.2603544],[89.85077069],[126.24599244],[148.97318644],[38.41433783],[40.74840712],[93.69416159],[18.9408983],[34.75548116],[148.07583605],[135.39917125],[151.21664361],[106.48321654],[29.22674282],[9.05250474],[101.78162622],[165.10788808],[127.64885383],[83.02576462],[32.01250774],[74.23596601],[90.03623313],[44.553502],[167.35848063],[51.12124706],[57.20341882],[53.90529467],[98.95866351],[90.47733135],[41.25612113],[39.37042339],[107.70036138],[31.15297338],[75.89395326],[82.64550501],[82.66868388],[61.42451743],[98.87928798],[97.9531966],[95.02495847],[19.07206449],[29.43350123],[65.84805003]
196,[128.86581549],[149.51530216],[13.96432896],[52.16020362],[236.77500852],[75.544539],[79.14043536],[126.66571696],[149.79001826],[46.90239491],[109.81737005],[104.58152565],[253.30120714],[75.35940189],[35.00864308],[31.87459077],[81.93211467],[69.93966796],[31.86720477],[126.96198555],[90.02639916],[126.77157829],[148.39816278],[38.11651795],[40.36388828],[93.74924019],[19.13224085],[34.7381294],[146.81821315],[134.8807459],[152.73125073],[106.35312171],[29.43499742],[8.75792742],[99.98945831],[163.76864701],[128.46961012],[81.04978478],[32.02371017],[73.80034567],[90.57765263],[44.79585325],[168.32736993],[50.8231718],[57.23092662],[54.05617551],[98.95380606],[89.72423553],[41.37170919],[39.57514799],[107.46072139],[31.17608156],[75.95070454],[82.03054639],[81.77045399],[61.67728006],[99.0189481],[99.43448044],[94.82405013],[19.10071326],[29.47013107],[64.91757347]
197,[128.05334395],[149.47331588],[14.20461341],[52.35441082],[239.42524715],[75.62609347],[78.81751277],[127.46404643],[151.63139819],[46.81609054],[110.97129303],[103.63352644],[253.09659441],[75.99041079],[35.06497533],[31.8498121],[81.83264451],[69.89635451],[31.86959264],[126.82472136],[90.14738644],[126.55152828],[148.31591069],[38.29957326],[40.56416468],[94.75139844],[19.23628693],[34.5252844],[146.20316082],[136.30838206],[155.70840622],[106.19684783],[29.46886861],[8.78415851],[100.21204215],[164.16902602],[128.72749986],[80.63009824],[31.65351998],[73.62613355],[90.65901951],[44.89755339],[166.66541468],[50.78263499],[56.96747796],[53.15301214],[99.5134447],[89.73812567],[41.53060738],[39.77153522],[105.85781633],[31.08658563],[76.2976331],[81.62773619],[80.99386733],[62.39609906],[99.99815934],[100.25482483],[94.61582273],[19.14986922],[30.60142868],[64.31891386]
198,[128.98364013],[148.15504757],[14.1420011],[53.29702164],[241.7471969],[75.81080961],[79.60391377],[127.96063233],[152.2937333],[46.41308916],[112.35439648],[103.27729625],[254.36286624],[76.63738357],[36.6268251],[32.15681805],[81.76614821],[69.92327234],[32.13515797],[128.01000695],[89.76578669],[126.46189324],[150.56560377],[38.80766425],[40.74471284],[94.99291394],[19.41015872],[34.6744266],[146.08510885],[136.88151495],[156.94845019],[106.49060313],[29.91828315],[9.00204028],[99.14959551],[164.5020309],[129.18015761],[80.98670923],[29.80257205],[74.21343355],[91.41359788],[44.78176104],[165.70040484],[51.15832036],[57.41508888],[53.37724382],[99.94688637],[90.620652],[41.62322946],[32.82771871],[106.40428202],[31.49934751],[76.53127647],[83.26148857],[81.45599891],[62.86312922],[100.97420339],[99.83474936],[93.74811968],[19.48280747],[31.06890413],[64.46905303]
199,[129.48677822],[149.86746252],[14.70059272],[45.61107333],[238.25762291],[74.89812223],[80.71675438],[127.89902296],[152.97518576],[47.41848809],[114.23021603],[105.81850691],[257.17887497],[76.14222397],[37.17176453],[31.67147314],[81.51072416],[70.01642691],[30.47875475],[128.23016965],[90.69684558],[127.0525465],[153.90777529],[38.36945412],[40.6172526],[95.33090848],[19.26460362],[34.75667817],[145.28798713],[137.22795845],[157.42824429],[106.75481757],[28.17999204],[8.99893968],[100.91500833],[168.47094607],[130.1908075],[82.60918316],[29.83959597],[74.09342093],[91.88421322],[44.37433292],[166.89261365],[51.1696783],[58.13320382],[53.16743119],[100.70731983],[90.99187307],[43.55571367],[32.22149785],[107.48128961],[31.29618646],[76.6971606],[80.7048994],[82.57562267],[64.03175446],[101.82611729],[100.71050816],[92.89062499],[19.46394326],[30.48465546],[65.26388064]
200,[128.26223921],[146.30331602],[14.24019437],[45.81710298],[240.74537348],[75.883532],[79.60046439],[127.59740467],[150.05579458],[46.14723994],[111.39363286],[115.28007643],[251.64060561],[75.53127762],[36.98127041],[31.58837791],[79.98962193],[69.68525331],[29.45089419],[119.50298666],[91.00315559],[127.05744306],[151.78939926],[37.20294642],[38.48233322],[94.57057923],[19.20321841],[34.96578482],[145.09815025],[136.90511178],[153.89331115],[106.76547174],[27.85404616],[8.99770603],[99.95687639],[165.04203526],[128.13610546],[81.07147932],[30.31298706],[73.21526807],[92.24743348],[44.01772955],[162.22170998],[50.48862751],[60.22168304],[52.49753236],[98.98589322],[90.53008805],[43.22460014],[32.58504018],[107.15834934],[30.96639743],[76.39319367],[80.5457762],[81.08683313],[63.12304268],[101.98270561],[99.4755427],[91.86232014],[19.69984257],[30.56749179],[63.88074612]
201,[128.49515322],[146.93749809],[13.84272794],[46.97003099],[241.0035656],[76.0724488],[79.24363574],[128.48680724],[149.03084178],[45.33846592],[111.6046037],[117.25923643],[250.45045068],[75.4281956],[36.95912686],[31.49461804],[79.90964416],[69.28964428],[29.16937763],[121.70789595],[90.8726023],[126.3445486],[152.04202141],[36.48238166],[37.45636923],[94.57424201],[19.17143622],[35.30161649],[144.20469536],[135.64574671],[154.29551957],[107.09808492],[27.74882946],[8.6606785],[94.66453695],[161.71029289],[127.08072145],[80.76510692],[29.20779616],[73.0858575],[90.94785534],[43.4725356],[164.34792069],[50.33849139],[57.92517299],[52.91181718],[98.49594966],[90.67275393],[43.50996388],[32.41420175],[105.81498342],[31.03853937],[76.47415156],[81.88682166],[80.80296831],[63.88200362],[102.58294236],[98.95208138],[84.65373518],[19.62687407],[30.44855575],[63.7674726]
202,[128.79716043],[146.58862534],[13.56995811],[47.2436728],[241.43856214],[76.60085621],[79.10990919],[129.65235007],[148.41452995],[44.32782762],[110.85799077],[119.37417531],[247.07639306],[75.88339018],[36.85555933],[31.49261534],[79.0906424],[69.28687468],[29.07663337],[120.77504596],[91.18391524],[128.46266541],[152.10786849],[37.38944909],[36.9973477],[94.39668511],[19.08987622],[35.47919489],[144.69128845],[137.30924445],[152.49812352],[107.36151619],[27.93685564],[8.83127533],[92.63911849],[159.44256557],[126.98042161],[80.18273571],[28.05191128],[72.76533572],[90.61409548],[43.38451764],[162.39922402],[49.93265305],[57.84983083],[53.1288276],[98.9850649],[90.83594251],[43.35664553],[33.10542609],[104.97364334],[31.01577621],[76.58214366],[80.45403283],[81.40792258],[63.52431729],[101.25563038],[99.45422612],[84.82795875],[19.75838993],[30.70683927],[63.27986726]
203,[129.9074866],[147.56681524],[13.63269064],[47.38247679],[239.83732429],[77.37066303],[79.02535198],[130.27689875],[149.64616482],[44.01879262],[111.43146774],[116.88205205],[248.54486403],[76.58366147],[36.74674097],[31.62981993],[79.47717122],[69.48565648],[29.59266793],[121.31286421],[91.82381819],[129.31012997],[153.98335871],[37.11238118],[36.87439005],[95.6148758],[19.12539992],[36.32580877],[145.20901442],[137.48810371],[166.73026242],[107.46373981],[28.37545822],[9.03602374],[92.60628931],[157.44503426],[128.69853444],[80.33712642],[28.405387],[72.64580209],[92.01386002],[43.51612178],[164.32584687],[50.18467889],[56.69943927],[53.390738],[100.04107452],[91.21008588],[43.45904414],[33.39894196],[104.46681654],[31.18527813],[76.84748513],[79.92696438],[81.72698572],[63.95377326],[99.52354319],[100.67717173],[85.88272639],[19.71742599],[32.52025854],[63.49781304]
204,[128.70772055],[147.49686902],[13.50408342],[47.51104334],[240.47790059],[77.78111529],[78.88409422],[127.43789812],[156.70709245],[42.73452931],[109.09663773],[115.17794622],[253.65749544],[75.78874444],[36.09704065],[31.52341464],[79.19497391],[68.49713347],[29.83664845],[119.20076979],[91.28327303],[124.32965315],[154.38728054],[37.31329377],[36.45440842],[95.41753837],[19.09048343],[36.65159578],[144.3887463],[136.61710768],[161.43450178],[105.88368669],[28.24214835],[8.74584085],[90.16434933],[151.49211703],[129.88164156],[79.91392621],[28.64993655],[72.35105318],[90.45165469],[43.41003045],[164.8442908],[49.80715247],[56.68511863],[53.13091904],[98.47428608],[90.0233569],[43.50199534],[33.39335184],[104.61330131],[30.9538035],[76.1007141],[80.60871555],[81.40726692],[63.77549031],[99.53005281],[101.17181799],[84.04906615],[19.50007727],[32.5862386],[62.30940299]
205,[130.07902966],[147.87717922],[13.24705146],[48.03922534],[239.93912002],[77.78961025],[78.03537112],[123.24514573],[155.08969135],[42.64444551],[107.8803558],[111.68972435],[250.9649065],[76.38877894],[36.26173116],[31.57873592],[77.68220232],[69.91585221],[29.31984083],[119.65799558],[90.51718568],[124.10939411],[154.13383477],[37.62415633],[36.4309339],[95.18307394],[19.34318392],[36.52936908],[144.93270028],[137.20878767],[160.56301392],[105.8699468],[28.34436425],[8.87202962],[88.97708401],[148.66079222],[129.13110922],[80.66018199],[27.76480481],[72.20503946],[90.42865136],[42.94213618],[166.43818029],[50.25769057],[56.06171104],[52.92672912],[98.18741951],[90.4495578],[44.02939425],[33.55869552],[101.98290218],[30.32678126],[76.10960609],[79.7369952],[81.40518787],[63.72536732],[100.07736993],[100.47098842],[84.6099811],[19.59009205],[32.07912569],[62.91782877]
206,[130.15394612],[147.78743289],[13.14934751],[47.88123234],[239.26629012],[77.63324496],[77.84857535],[124.47072418],[155.83506691],[42.77074848],[108.55810896],[111.39929179],[249.40722736],[75.6319135],[36.24139743],[31.78845124],[78.30824987],[71.11214906],[29.25939525],[119.79604978],[90.45243914],[123.15959966],[145.13742304],[37.54897375],[36.88013387],[97.68008505],[19.36452339],[36.34177384],[145.04818892],[136.92620417],[160.47407434],[105.98573494],[28.14011721],[8.93542379],[88.74986856],[149.90676511],[129.01090431],[83.36358161],[27.96224256],[72.74337248],[90.35139795],[42.73232383],[167.59918454],[49.97668949],[56.10396199],[52.5933992],[98.48778989],[90.51560698],[43.90130815],[33.39837697],[102.67348693],[29.26508226],[76.61161369],[80.46888754],[81.45305542],[64.17988258],[99.28493494],[100.74817365],[81.11677745],[19.71737622],[32.19964874],[63.26592009]
207,[129.23835978],[147.8646334],[13.11352383],[47.27596106],[235.47054427],[77.95360551],[78.98802067],[124.71969138],[159.57618906],[43.84766838],[108.3632192],[108.61302387],[251.25806091],[75.13109818],[36.86100519],[31.70249185],[76.85231248],[70.26634623],[29.28175324],[118.73434861],[90.12871093],[123.77868635],[142.14502422],[37.71438964],[36.5621677],[96.98173194],[19.30532876],[36.43686466],[142.07832862],[136.25717366],[163.38958438],[106.69257686],[28.23715871],[8.79423396],[90.70420471],[155.9738053],[129.01959289],[84.53626857],[28.91706648],[72.84656577],[88.54580385],[42.65285508],[170.35415756],[49.12682801],[55.03576811],[52.28926984],[98.07566239],[90.30438829],[44.325841],[32.92922325],[104.81191845],[28.56981896],[76.93588793],[80.70383872],[82.45266627],[64.01657203],[98.7707499],[101.14148988],[81.12419844],[19.30998804],[32.34803145],[63.12962961]
208,[129.69541876],[148.44317605],[12.9012386],[47.38415609],[232.50597302],[78.46218715],[78.07029333],[124.75447619],[160.669822],[43.92270558],[107.45060711],[109.81108312],[249.54994114],[74.7273611],[36.59220414],[31.63083172],[76.28345788],[70.92300795],[29.36230927],[118.67057084],[89.57433942],[123.40347674],[140.48816469],[37.661149],[36.69871806],[96.0579523],[19.3184661],[36.59424466],[141.8675309],[136.90450044],[165.27747218],[106.43645196],[28.33002464],[8.43261172],[91.48534446],[155.54924468],[128.92311213],[83.64130639],[28.53070378],[72.5152591],[88.52228592],[42.23351622],[172.48259958],[49.11032105],[54.86743632],[52.7769073],[97.79886609],[90.20625448],[44.07737705],[32.55442857],[104.9134229],[28.6423894],[76.86945464],[81.24809135],[82.31095032],[64.29194405],[99.82784575],[100.82043885],[81.09759874],[19.3012691],[32.33185983],[62.84232595]
209,[128.25892774],[144.96239832],[12.13898162],[46.34501201],[222.26319804],[77.72211636],[76.89313172],[122.63678726],[154.73363874],[42.16686108],[104.9219646],[109.10256207],[241.56936197],[72.32843432],[36.21281908],[30.99451108],[75.0235978],[69.93805715],[28.60205818],[116.5601614],[89.38338674],[122.62810331],[138.50643941],[37.2723013],[36.14979527],[93.48315971],[18.90174175],[36.14975745],[141.72875158],[135.17836811],[164.71866241],[106.16747981],[27.49223269],[7.49436415],[88.25571184],[149.4841122],[126.89270552],[81.41454232],[27.43645529],[71.44876908],[86.9273598],[41.31098501],[165.95775903],[48.10244838],[54.73087832],[52.28809702],[96.03735817],[87.93024971],[43.5528575],[31.45899949],[101.63121755],[27.90761522],[75.70417639],[78.82173105],[80.45659851],[63.49268907],[97.77540172],[99.3892761],[78.95556119],[18.9078738],[31.43654515],[61.81646527]
210,[128.33123918],[146.57950436],[12.13512844],[46.35386587],[222.5795457],[77.9980341],[78.06387217],[122.96091494],[156.98814867],[43.06866914],[108.30044626],[108.89119212],[244.01075167],[74.40742746],[36.35079061],[31.4929293],[74.62775337],[70.6273559],[28.97053503],[117.80180888],[89.32421227],[122.89597258],[140.0020211],[37.4220582],[36.46891755],[93.52282781],[18.88402823],[35.89323891],[141.88160435],[136.73697458],[164.08726213],[105.77250102],[27.44279679],[8.30117056],[90.32743395],[154.42379701],[127.7377472],[82.27533135],[28.09665659],[72.51953806],[87.55733506],[41.4380338],[156.59072782],[48.28868823],[54.27456809],[52.7504032],[98.34177587],[88.50976079],[43.47689111],[32.29711864],[103.1966451],[28.26622367],[76.25457037],[78.60441977],[80.96975548],[63.12280712],[98.06147401],[99.91686331],[79.91539585],[18.94241684],[31.68136067],[62.41450403]
211,[129.6954076],[149.21773161],[12.78340838],[46.81611012],[222.00574845],[79.08752815],[79.86523897],[125.44286991],[159.4873937],[43.68598063],[108.96260765],[109.86152032],[250.85461862],[75.74527577],[37.02037401],[31.81243269],[75.72468276],[71.75658489],[29.4073154],[118.95934651],[90.48328796],[124.07065366],[142.09603317],[37.73514178],[37.09579809],[94.60496873],[19.09612454],[36.32823344],[142.23269625],[138.9756991],[167.85785556],[106.34238265],[27.88070494],[7.84226529],[91.3906201],[158.55598302],[130.32130525],[84.00021527],[29.30187672],[73.65542681],[88.73294222],[41.95062481],[166.23788416],[48.87643873],[54.86114773],[53.47947458],[99.88119933],[90.19600644],[44.0484802],[32.55386663],[105.5820477],[28.56832529],[77.28930051],[79.64784677],[82.05371224],[63.89826314],[98.84399694],[101.72483963],[82.9871987],[19.13600552],[32.17627142],[63.11780711]
212,[129.42614596],[150.63398483],[13.17797521],[46.36876925],[226.17758923],[78.8342013],[79.89535112],[126.16455679],[161.21128621],[43.88291433],[109.79981419],[111.55724287],[254.13653228],[76.26707526],[37.24682401],[32.14906616],[74.85699623],[71.66133454],[28.52242146],[118.6289201],[90.61831625],[124.74700663],[143.42251205],[37.90691177],[36.84050624],[94.49834813],[19.01863076],[36.02022559],[141.98000354],[137.53383705],[168.33807022],[106.56616614],[27.55789943],[8.18431696],[91.19656767],[160.2545674],[130.84938436],[84.20071572],[29.65504729],[73.25836592],[88.01528642],[41.97974183],[165.88599537],[48.83484287],[55.60248237],[53.79204621],[99.92359025],[90.5214193],[43.97505344],[32.2233999],[105.93679103],[28.4252028],[78.36412184],[78.96180505],[81.98446708],[64.0817743],[98.58761206],[102.48137415],[83.88985692],[19.22633163],[32.32323397],[62.64059615]
213,[130.14110741],[152.10462212],[12.76534553],[46.25860725],[228.3196046],[79.34114223],[79.98218881],[128.46676625],[160.40590605],[44.55902345],[110.66569102],[111.19156647],[253.83634008],[77.15136985],[37.57515625],[32.3047131],[76.23654132],[71.99416784],[28.49636699],[118.65060398],[91.41331179],[124.88297695],[143.50698707],[38.3350347],[37.18052692],[94.58711351],[18.94814709],[35.83220641],[142.47939392],[138.01121125],[169.2787258],[102.11911373],[27.8106982],[7.83561819],[91.84120114],[163.59173129],[131.6191427],[84.15764638],[30.77531275],[73.69161754],[88.21878485],[42.45686464],[166.80302265],[49.29607922],[56.32356912],[53.26644066],[101.79722524],[92.01026743],[44.21067229],[32.50931784],[105.83800306],[28.29695015],[79.0336182],[79.57965991],[82.51446318],[65.40223159],[99.23487232],[103.20017826],[85.95872884],[19.37583344],[32.41985232],[62.80504185]
214,[127.64503885],[148.02434041],[12.26011734],[45.41135694],[223.13830398],[78.9045993],[77.70739464],[125.4925887],[157.37716868],[43.24415182],[107.76714815],[104.69280919],[247.15214803],[76.26235529],[36.82530746],[31.08170231],[74.76041564],[70.32055265],[27.83228653],[117.87736336],[89.5734857],[121.30965344],[141.98318009],[37.78118968],[36.55859633],[93.59693762],[18.64150739],[35.21276639],[140.58744294],[134.36630199],[165.15033773],[98.7398827],[27.18520335],[7.64069837],[89.83686296],[158.65049116],[130.0791049],[81.85493975],[29.54604579],[72.40185221],[87.04377842],[39.67047517],[163.11384201],[48.54959177],[55.04867085],[52.25318513],[100.67096085],[90.8501333],[43.98008421],[31.41940836],[102.29656026],[28.06572341],[76.8643837],[77.59453358],[80.23424638],[64.93658443],[97.97770813],[102.08377558],[82.53431289],[18.98516456],[31.84813833],[61.37707811]
